question,sql
Which five counties have the lowest number of CalFresh authorized vendors compared to CalFresh participants?,"SELECT Vendor_Location,(vendor_cnt/total_participants)*100 as vendor_participants_ratio FROM
((SELECT TRIM(Vendor_Location) AS Vendor_Location,COALESCE(SUM(SAFE_CAST(_Number_of_Participants_Redeemed_ AS INT64))) as total_participants FROM `cdii-poc.HHS_Program_Counts.calfresh-redemption-by-county-by-participant-category-data-2010-2018`  group by Vendor_Location) as participants
JOIN
(SELECT TRIM(COUNTY) AS COUNTY,count(VENDOR) as vendor_cnt FROM `cdii-poc.HHS_Program_Counts.women-infants-and-children-wic-authorized-vendors` 
group by COUNTY having COUNTY is not null) as vendors
ON UPPER(participants.Vendor_Location)=UPPER(vendors.COUNTY))
WHERE (vendor_cnt/total_participants)*100 is not null
order by vendor_participants_ratio asc limit 5;"
How many Hispanic individuals are served across CalHHS programs?,"SELECT  COALESCE(SUM(SAFE_CAST( Hispanic   AS INT64)), 0) AS total_hispanics FROM `cdii-poc.HHS_Program_Counts.calhhs-dashboard-2015-2020-annual-data-file` ;"
What is the breakdown by program?,"select  year, sum(total_beneficiaries) as total_beneficiaries, round(ifnull(100 * (sum(total_beneficiaries)/lag(sum(total_beneficiaries)) over(order by year asc) - 1), 0), 2)  AS percentage_change from 
(SELECT fileyear AS year,  SUM(SAFE_CAST( Person   AS INT64)) total_beneficiaries, FROM `cdii-poc.HHS_Program_Counts.calhhs-dashboard-2015-2020-annual-data-file`  AS annual_file WHERE (Program = <sq>CalWorks<sq>) group by year ORDER BY year)
 group by year order by year;"
Has this changed over time?,"select  year, sum(total_hispanic) as total_hispanic, round(ifnull(100 * (sum(total_hispanic)/lag(sum(total_hispanic)) over(order by year asc) - 1), 0), 2)  AS percentage_change from 
(SELECT fileyear AS year,  SUM(SAFE_CAST( Black   AS INT64)) total_hispanic, FROM `cdii-poc.HHS_Program_Counts.calhhs-dashboard-2015-2020-annual-data-file`  AS annual_file group by year ORDER BY year)
 group by year order by year;"
Change over time by program?,"select Program, year, sum(total_hispanic) as total_hispanic, round(ifnull(100 * (sum(total_hispanic)/lag(sum(total_hispanic)) over(order by year asc) - 1), 0), 2)  AS percentage_change from 
(SELECT Program,fileyear AS year,  SUM(SAFE_CAST( Black   AS INT64)) total_hispanic, FROM `cdii-poc.HHS_Program_Counts.calhhs-dashboard-2015-2020-annual-data-file`  AS annual_file group by Program,year ORDER BY Program,year)
 group by Program,year order by Program,year;"
Which counties have the highest and lowest ratios of providers to enrolled participants in IHSS?,"select annual_file.Number, (count(provider.OBJECTID )/ sum(SAFE_CAST(annual_file.person AS INT64)))  *100 as ratio
FROM `cdii-poc.HHS_Program_Counts.calhhs-dashboard-2015-2020-annual-data-file`  AS annual_file 
join `cdii-poc.HHS_Program_Counts.calhhs_ihss_managed_care_provider_listing` as provider
on annual_file.Number = provider.County
where annual_file.level = <sq>County<sq> and provider.RecordType = <sq>Provider<sq>
group by annual_file.Number
order by 2 limit 5"
How many unique products are in service?,select count(distinct PRODUCT) from `sl-test-project-353312.EY.invoice_specific` 
How many unique products are in service?,select count(distinct PRODUCT) from `sl-test-project-353312.EY.invoice_specific` 
How many unique products are in service at the organisation?,select count(distinct PRODUCT) from `sl-test-project-353312.EY.invoice_specific` 
How many employees in California are from Livingston County?,select count(*) from `sl-test-project-363109.zoominfo.zi-retail-companies-headquartered-california` where ZI_C_COMPANY_COUNTY = <sq>Livingston County<sq>
What is the revenue for pharma industry?,select * from table1 where industry=<dq>pharma<dq>
What is the revenue for pharma industry?,select * from table1 where industry=<dq>pharma<dq>
What is the revenue for manufacturing industry?,select * from table1 where industry=<dq>pharma<dq>
What is the revenue for manufacturing industry?,select * from table1 where industry=<dq>pharma<dq>
What are the top 10 industries having revenue greater than 1 million?,select * from table1 where industry=<dq>pharma<dq>
Which industry has highest revenue in Dallas county?,select revenue from table1 where county=<sq><sq>Dallas<dq> order by revenue DESC;
Testing questionn add,Select * from tab;
Testing questionn add,Select * from tab;
Testing,Testing
New question,updated sql
Testing,Testing
test,
Last question to test,Select last question
Deployed version of the  code,Select all deployed
